Candidate_ID,Gender,Age,Education_Level,Experience_Years,Skill_Score,Aptitude_Test_Score,Technical_Test_Score,Communication_Score,Certifications_Count,Previous_Companies,Interview_Score,Location,Job_Role_Applied,Expected_Salary,Hiring_Decision
32555,Male,59,High School,9,29,16,66,80,9.0,4,52,Urban,HR Executive,84426,0
32556,Other,39,Diploma,3,22,43,51,79,7.0,7,16,Urban,HR Executive,30219,0
32557,Female,59,Bachelors,9,83,43,5,88,8.0,4,57,Rural,Data Analyst,130558,0
32558,Male,27,Bachelors,18,13,17,88,5,0.0,1,77,Semi-Urban,Manager,53097,0
32559,Male,51,Bachelors,14,35,61,88,7,2.0,0,7,Urban,HR Executive,75222,0
32560,Female,38,Bachelors,8,69,53,54,64,7.0,2,97,Urban,HR Executive,34495,1
32561,Male,21,High School,12,55,19,89,54,3.0,4,63,Semi-Urban,HR Executive,60374,0
32562,Other,21,PhD,4,60,4,79,2,2.0,3,9,Urban,Software Engineer,88962,0
32563,Other,38,High School,1,64,46,36,92,1.0,5,4,Semi-Urban,Manager,30694,0
32564,Female,58,Bachelors,15,95,15,44,95,9.0,2,64,Rural,Software Engineer,131545,0
32565,Other,23,Diploma,2,39,22,73,74,8.0,7,73,Rural,ML Engineer,70577,0
32566,Male,38,Masters,15,14,88,33,70,8.0,6,19,Urban,ML Engineer,53573,0
32567,Male,42,High School,3,97,36,15,53,6.0,6,27,Semi-Urban,HR Executive,88857,0
32568,Male,28,Bachelors,3,24,14,20,35,2.0,4,53,Urban,Data Analyst,104848,0
32569,Male,58,Masters,17,52,12,12,52,7.0,0,9,Urban,HR Executive,120420,0
32570,Other,30,Diploma,16,55,97,51,34,9.0,2,6,Semi-Urban,Data Analyst,28335,0
32571,Male,23,Bachelors,5,31,5,74,9,2.0,2,14,Urban,Software Engineer,138779,0
32572,Female,37,Masters,18,34,65,15,17,4.0,1,53,Semi-Urban,Manager,72269,0
32573,Female,27,Masters,1,22,6,35,18,4.0,2,95,Urban,Manager,118850,0
32574,Male,57,High School,11,75,26,98,37,9.0,4,99,Urban,HR Executive,133777,1
32575,Male,42,Bachelors,7,32,92,19,38,8.0,4,21,Rural,Manager,28014,0
32576,Male,31,Masters,17,47,52,54,17,4.0,2,4,Semi-Urban,Manager,144380,0
32577,Male,39,High School,4,74,92,37,75,5.0,6,86,Urban,Manager,34124,1
32578,Male,49,Bachelors,0,27,59,61,12,1.0,6,13,Rural,Software Engineer,57304,0
32579,Male,48,Bachelors,1,89,98,4,61,5.0,5,87,Urban,Software Engineer,107291,1
32580,Male,48,Masters,17,94,21,98,26,0.0,4,14,Urban,Manager,33084,0
32581,Female,56,Diploma,15,37,42,93,45,7.0,6,25,Urban,HR Executive,29785,0
32582,Male,44,PhD,18,36,70,99,49,8.0,7,69,Semi-Urban,Manager,128878,1
32583,Male,31,High School,9,2,2,74,60,1.0,5,77,Urban,Software Engineer,117006,0
32584,Female,51,Diploma,12,82,78,75,89,4.0,0,2,Semi-Urban,Data Analyst,66423,0
32585,Male,28,High School,4,74,74,40,4,3.0,5,73,Rural,Manager,46152,1
32586,Male,38,Diploma,3,39,74,10,60,6.0,4,35,Urban,Manager,142092,0
32587,Female,52,High School,0,31,27,78,64,1.0,6,31,Urban,ML Engineer,104323,0
32588,Female,51,Masters,15,30,52,80,51,7.0,0,84,Semi-Urban,Data Analyst,96988,1
32589,Female,32,PhD,5,98,38,84,1,6.0,0,73,Urban,Software Engineer,98631,1
32590,Male,48,Bachelors,5,44,1,14,74,7.0,3,24,Semi-Urban,Software Engineer,121221,0
32591,Male,28,Masters,16,2,76,16,59,0.0,1,43,Semi-Urban,Software Engineer,122566,0
32592,Male,39,Bachelors,6,20,52,90,41,2.0,2,7,Urban,HR Executive,78620,0
32593,Other,44,Bachelors,17,19,15,29,47,5.0,0,17,Rural,Manager,42046,0
32594,Male,50,Bachelors,1,92,83,75,98,7.0,6,65,Semi-Urban,HR Executive,102730,1
32595,Male,52,Bachelors,3,13,66,69,59,4.0,0,45,Urban,Software Engineer,37879,0
32596,Female,31,Diploma,3,35,45,14,65,9.0,6,57,Urban,Data Analyst,110731,0
32597,Other,35,Masters,7,21,77,96,10,8.0,6,2,Rural,Manager,20518,0
32598,Female,22,PhD,12,71,57,42,3,7.0,4,91,Semi-Urban,Manager,134569,1
32599,Male,30,High School,7,35,69,3,66,1.0,6,72,Rural,ML Engineer,101819,0
32600,Male,22,High School,2,34,43,4,75,7.0,1,95,Urban,Data Analyst,37431,0
32601,Female,48,PhD,7,54,40,3,27,1.0,0,8,Semi-Urban,Software Engineer,117425,0
32602,Male,31,High School,4,45,80,21,18,8.0,1,48,Urban,HR Executive,66584,0
32603,Male,47,Diploma,6,79,15,1,87,2.0,5,54,Semi-Urban,Software Engineer,70244,0
32604,Male,51,PhD,5,88,64,44,23,7.0,7,38,Urban,Software Engineer,106221,0
32605,Female,28,Diploma,12,29,33,23,21,0.0,4,68,Semi-Urban,HR Executive,115271,0
32606,Male,27,Masters,18,55,37,7,28,5.0,3,52,Urban,ML Engineer,60389,0
32607,Female,45,Bachelors,5,12,19,49,97,2.0,6,39,Semi-Urban,Manager,128994,0
32608,Male,37,Bachelors,15,64,3,34,79,6.0,1,97,Rural,Software Engineer,129549,0
32609,Male,40,Bachelors,19,12,3,61,68,2.0,7,17,Urban,Manager,147938,0
32610,Other,40,Bachelors,3,16,28,72,40,2.0,7,95,Semi-Urban,Software Engineer,79162,0
32611,Male,22,High School,6,23,51,65,9,5.0,2,56,Semi-Urban,Manager,126229,0
32612,Female,22,Diploma,15,4,87,96,30,2.0,6,79,Urban,ML Engineer,42725,1
32613,Male,46,Masters,19,98,85,90,61,3.0,3,52,Urban,ML Engineer,130887,1
32614,Male,48,High School,11,61,22,88,40,5.0,0,51,Semi-Urban,Manager,53796,0
32615,Female,34,Bachelors,9,35,98,53,41,5.0,2,58,Rural,ML Engineer,130317,1
32616,Female,34,Diploma,13,10,10,14,54,0.0,5,11,Urban,Manager,82731,0
32617,Female,35,Diploma,9,75,69,85,37,0.0,4,51,Semi-Urban,Data Analyst,149062,1
32618,Male,36,High School,12,86,57,9,2,3.0,3,73,Rural,Manager,105303,0
32619,Male,59,Bachelors,6,54,28,64,23,5.0,0,2,Rural,Manager,83394,0
32620,Female,55,Diploma,3,5,98,6,50,4.0,4,16,Urban,Software Engineer,55752,0
32621,Male,24,Bachelors,18,39,3,41,8,1.0,0,52,Urban,Manager,133809,0
32622,Female,39,Bachelors,18,59,93,25,61,2.0,0,35,Semi-Urban,Data Analyst,125216,0
32623,Male,56,High School,14,20,90,33,83,9.0,3,14,Urban,Data Analyst,65259,0
32624,Female,54,Diploma,5,67,77,40,33,2.0,3,52,Urban,ML Engineer,88176,0
32625,Female,55,Bachelors,19,9,23,60,76,5.0,7,11,Urban,ML Engineer,36496,0
32626,Male,26,Bachelors,19,95,41,67,76,6.0,7,21,Semi-Urban,HR Executive,50440,0
32627,Female,28,Masters,12,31,32,30,3,2.0,3,50,Urban,Data Analyst,94327,0
32628,Male,44,Bachelors,3,0,63,31,0,4.0,2,20,Urban,ML Engineer,42434,0
32629,Male,55,Masters,10,40,67,1,30,5.0,0,18,Urban,ML Engineer,120535,0
32630,Male,50,Masters,7,5,14,47,66,0.0,5,45,Semi-Urban,Data Analyst,90042,0
32631,Male,48,Bachelors,11,18,94,92,72,5.0,4,14,Urban,Data Analyst,144538,0
32632,Male,36,High School,7,9,26,39,23,2.0,3,28,Semi-Urban,ML Engineer,40799,0
32633,Male,41,Bachelors,0,75,78,23,48,2.0,1,4,Urban,ML Engineer,58355,0
32634,Male,53,Masters,7,78,83,49,28,0.0,1,50,Rural,Data Analyst,28089,1
32635,Male,27,Bachelors,1,96,59,27,77,7.0,6,52,Rural,Software Engineer,20187,0
32636,Male,31,Bachelors,9,93,42,16,11,5.0,5,18,Urban,Software Engineer,130390,0
32637,Male,47,Bachelors,19,3,97,89,89,6.0,0,64,Urban,Manager,134544,1
32638,Female,54,High School,1,28,96,23,97,6.0,2,10,Urban,Data Analyst,78862,0
32639,Female,51,Diploma,8,84,31,79,98,6.0,1,95,Urban,Manager,38372,1
32640,Female,51,High School,6,53,21,27,77,6.0,5,90,Urban,Manager,136199,0
32641,Male,47,PhD,6,26,7,58,96,8.0,3,53,Urban,HR Executive,67723,0
32642,Male,27,Masters,8,13,38,77,59,0.0,6,99,Urban,ML Engineer,137860,0
32643,Female,48,Bachelors,19,44,59,17,68,8.0,1,71,Semi-Urban,Manager,104359,0
32644,Female,32,High School,13,57,97,47,62,6.0,7,91,Urban,Manager,106314,1
32645,Male,57,Bachelors,3,50,11,13,25,0.0,5,22,Urban,ML Engineer,78468,0
32646,Female,23,Masters,13,39,75,67,79,3.0,3,42,Rural,HR Executive,86989,0
32647,Male,46,Bachelors,15,41,62,11,4,7.0,2,45,Urban,Data Analyst,120862,0
32648,Male,53,Diploma,7,38,74,89,34,7.0,2,32,Rural,ML Engineer,71570,0
32649,Female,48,Bachelors,3,46,45,37,82,1.0,1,63,Semi-Urban,HR Executive,128971,0
32650,Male,42,High School,13,72,75,52,5,2.0,0,36,Semi-Urban,Software Engineer,54036,1
32651,Male,39,Masters,9,73,37,86,96,3.0,2,51,Rural,Data Analyst,138498,1
32652,Male,33,High School,14,83,53,21,75,3.0,4,16,Rural,Manager,110741,0
32653,Male,45,Diploma,3,91,25,8,57,1.0,4,61,Urban,Data Analyst,34381,0
32654,Male,24,Bachelors,7,13,11,22,3,3.0,5,94,Urban,Data Analyst,90741,0
32655,Male,59,Bachelors,8,55,93,44,22,4.0,5,74,Rural,Manager,142553,1
32656,Other,30,Bachelors,7,68,10,59,90,5.0,3,23,Rural,Manager,25319,0
32657,Female,45,Masters,5,5,37,75,82,0.0,5,79,Urban,Software Engineer,60003,0
32658,Male,26,Bachelors,8,25,35,12,34,4.0,7,98,Rural,HR Executive,125454,0
32659,Male,55,Diploma,18,8,68,5,56,4.0,5,98,Urban,Software Engineer,76545,0
32660,Male,54,High School,16,45,84,88,61,7.0,7,95,Urban,ML Engineer,53151,1
32661,Female,58,Masters,14,53,40,49,27,5.0,2,61,Semi-Urban,Manager,101480,0
32662,Male,39,Diploma,2,83,82,36,42,7.0,0,5,Urban,ML Engineer,90271,0
32663,Male,54,Bachelors,16,4,64,31,63,6.0,7,3,Urban,Software Engineer,41559,0
32664,Male,36,Bachelors,6,77,88,31,74,7.0,2,28,Urban,Manager,33023,0
32665,Male,41,Diploma,14,40,61,48,15,6.0,5,31,Semi-Urban,Data Analyst,32140,0
32666,Female,26,Diploma,12,55,10,19,58,7.0,5,62,Semi-Urban,HR Executive,86563,0
32667,Female,24,Masters,2,72,13,52,30,4.0,2,26,Semi-Urban,Software Engineer,128565,0
32668,Female,35,Bachelors,18,98,45,25,64,0.0,1,31,Rural,Software Engineer,106078,0
32669,Male,59,PhD,9,31,89,56,13,9.0,7,48,Urban,Data Analyst,73243,0
32670,Female,48,Diploma,5,41,57,39,80,0.0,4,16,Rural,ML Engineer,140489,0
32671,Male,32,Bachelors,6,25,53,66,34,9.0,5,48,Urban,Software Engineer,54256,0
32672,Male,43,PhD,9,29,97,77,90,2.0,5,74,Semi-Urban,Data Analyst,63599,1
32673,Male,21,Bachelors,18,49,80,26,84,7.0,2,42,Semi-Urban,Software Engineer,112470,0
32674,Male,29,Masters,17,59,84,62,27,5.0,0,68,Urban,Software Engineer,118279,1
32675,Male,58,High School,6,88,2,81,52,9.0,4,80,Semi-Urban,ML Engineer,149811,1
32676,Female,41,Masters,4,11,23,58,86,7.0,1,15,Urban,Software Engineer,102599,0
32677,Male,26,PhD,5,29,80,96,21,0.0,3,64,Urban,ML Engineer,39280,1
32678,Male,51,Bachelors,7,40,92,12,5,1.0,5,60,Semi-Urban,Software Engineer,146572,0
32679,Female,31,PhD,5,3,19,37,51,4.0,6,55,Semi-Urban,ML Engineer,92141,0
32680,Male,58,Bachelors,13,38,71,46,87,5.0,0,17,Urban,Software Engineer,20795,0
32681,Female,37,Bachelors,5,81,74,5,4,1.0,5,26,Urban,Software Engineer,147225,0
32682,Female,54,Masters,3,31,1,54,79,5.0,2,14,Semi-Urban,Data Analyst,87227,0
32683,Male,49,Diploma,15,13,49,34,62,0.0,3,44,Rural,Data Analyst,112329,0
32684,Male,51,Bachelors,2,55,37,43,90,0.0,5,23,Urban,Software Engineer,84775,0
32685,Female,50,Bachelors,15,56,90,72,96,6.0,6,65,Urban,Software Engineer,81901,1
32686,Female,55,Masters,14,91,63,14,97,8.0,5,40,Semi-Urban,Data Analyst,98512,0
32687,Male,47,Masters,19,84,20,79,21,1.0,3,98,Urban,Software Engineer,136087,1
32688,Male,39,Bachelors,16,48,16,15,85,9.0,1,54,Urban,Software Engineer,109292,0
32689,Male,48,Bachelors,7,81,65,57,82,0.0,5,35,Rural,HR Executive,87157,1
32690,Female,25,Diploma,15,54,87,95,87,7.0,0,93,Rural,Manager,77259,1
32691,Male,31,PhD,10,4,85,70,86,7.0,1,48,Semi-Urban,HR Executive,135117,0
32692,Female,46,High School,9,64,99,85,75,3.0,1,88,Urban,Software Engineer,72231,1
32693,Other,26,Diploma,12,46,66,19,88,4.0,6,82,Rural,HR Executive,124525,0
32694,Female,53,Bachelors,5,81,49,57,55,9.0,3,32,Semi-Urban,Manager,142579,0
32695,Female,38,Bachelors,19,56,33,76,66,6.0,0,54,Semi-Urban,Data Analyst,87565,0
32696,Male,26,Bachelors,4,56,73,48,48,5.0,2,45,Semi-Urban,Software Engineer,140987,0
32697,Male,50,Diploma,3,61,94,53,23,7.0,6,72,Urban,HR Executive,118301,1
32698,Male,34,Bachelors,3,52,63,65,6,3.0,3,68,Urban,Manager,76280,1
32699,Male,33,PhD,2,86,84,73,47,1.0,6,2,Semi-Urban,Manager,68013,1
32700,Male,21,Bachelors,3,25,27,26,67,8.0,4,72,Urban,Data Analyst,48020,0
32701,Female,41,Bachelors,6,87,27,44,62,5.0,2,95,Urban,ML Engineer,72433,1
32702,Male,38,Diploma,11,43,39,39,3,6.0,6,33,Rural,ML Engineer,78987,0
32703,Female,58,Diploma,3,67,40,16,32,0.0,4,39,Semi-Urban,HR Executive,85715,0
32704,Male,59,High School,3,72,58,44,96,3.0,3,6,Urban,ML Engineer,52726,0
32705,Male,36,Masters,15,65,89,64,66,0.0,7,83,Rural,Software Engineer,47389,1
32706,Male,25,Bachelors,11,47,43,13,27,5.0,0,72,Urban,ML Engineer,47413,0
32707,Other,36,Masters,17,73,5,9,79,6.0,2,85,Urban,Data Analyst,123135,0
32708,Female,29,Masters,10,59,30,22,48,6.0,6,94,Urban,ML Engineer,89160,0
32709,Male,39,Masters,7,7,61,64,92,7.0,7,10,Semi-Urban,Software Engineer,118637,0
32710,Male,36,Diploma,3,52,35,30,75,8.0,6,82,Urban,Data Analyst,140288,0
32711,Female,53,Bachelors,2,11,15,50,55,7.0,7,66,Rural,Software Engineer,38998,0
32712,Male,48,Diploma,9,76,67,6,89,6.0,4,93,Urban,ML Engineer,43220,1
32713,Male,26,Masters,10,16,21,91,79,4.0,0,3,Urban,Manager,33447,0
32714,Male,49,High School,0,11,72,63,76,3.0,5,3,Urban,Software Engineer,48778,0
32715,Male,39,PhD,5,45,20,11,16,7.0,4,83,Urban,Software Engineer,67180,0
32716,Male,48,Diploma,7,71,8,97,26,0.0,1,98,Urban,HR Executive,46414,1
32717,Male,24,Bachelors,13,27,23,1,39,3.0,7,35,Urban,Manager,146035,0
32718,Female,22,Masters,1,78,35,45,18,7.0,5,39,Rural,HR Executive,49614,0
32719,Male,46,Bachelors,2,69,51,84,85,1.0,7,96,Urban,Manager,55667,1
32720,Female,34,Diploma,4,34,29,33,29,8.0,0,32,Semi-Urban,Software Engineer,116984,0
32721,Male,34,Diploma,11,4,59,10,99,9.0,2,5,Urban,HR Executive,69954,0
32722,Male,32,Bachelors,13,57,88,48,58,3.0,1,32,Rural,Manager,90318,0
32723,Male,49,Bachelors,4,32,9,22,85,6.0,7,11,Semi-Urban,ML Engineer,96534,0
32724,Female,46,Bachelors,2,90,32,71,92,7.0,4,9,Rural,ML Engineer,43717,0
32725,Male,49,Masters,14,73,94,84,15,4.0,1,80,Semi-Urban,Data Analyst,134836,1
32726,Male,52,Bachelors,7,82,47,38,91,0.0,0,51,Urban,Manager,122599,0
32727,Male,56,PhD,1,38,66,36,56,0.0,4,96,Urban,Manager,114221,1
32728,Female,46,High School,8,0,42,84,63,0.0,4,42,Semi-Urban,HR Executive,118891,0
32729,Male,28,Diploma,8,2,9,88,79,9.0,4,32,Urban,Manager,67520,0
32730,Male,34,High School,15,46,11,12,26,7.0,1,21,Rural,ML Engineer,140472,0
32731,Male,33,Bachelors,12,82,60,57,98,9.0,0,5,Rural,Manager,144424,0
32732,Female,52,PhD,8,53,25,12,90,2.0,5,54,Semi-Urban,Manager,125989,0
32733,Male,56,Bachelors,2,27,67,71,50,1.0,2,49,Rural,Data Analyst,45958,0
32734,Female,24,Masters,9,80,32,54,48,0.0,6,21,Semi-Urban,ML Engineer,90197,0
32735,Female,58,Masters,2,24,45,69,18,3.0,3,98,Urban,ML Engineer,145481,0
32736,Female,31,Masters,1,95,10,84,93,8.0,1,75,Rural,ML Engineer,25576,1
32737,Male,32,Masters,6,95,1,28,32,3.0,0,99,Rural,HR Executive,37668,0
32738,Male,21,Bachelors,17,12,84,7,33,7.0,6,1,Urban,ML Engineer,98561,0
32739,Female,29,Masters,2,34,84,31,20,8.0,1,52,Urban,HR Executive,54989,0
32740,Male,57,High School,9,1,77,68,56,3.0,3,50,Rural,Manager,100808,0
32741,Male,46,Bachelors,9,47,98,90,8,0.0,4,67,Urban,Software Engineer,71496,1
32742,Male,43,Masters,1,23,27,40,18,7.0,6,47,Urban,Manager,69172,0
32743,Female,21,Diploma,15,22,10,94,21,8.0,5,2,Urban,Data Analyst,29529,0
32744,Male,24,Bachelors,12,86,93,17,21,9.0,1,59,Semi-Urban,Software Engineer,112088,1
32745,Male,34,Bachelors,3,36,62,68,77,9.0,6,37,Urban,Manager,103593,0
32746,Female,31,Bachelors,17,59,25,58,46,0.0,4,34,Rural,Software Engineer,116413,0
32747,Male,52,Diploma,0,61,15,82,11,2.0,3,91,Semi-Urban,HR Executive,97635,1
32748,Female,59,Bachelors,1,25,29,48,84,4.0,1,13,Urban,HR Executive,45034,0
32749,Male,41,PhD,9,44,46,41,26,6.0,4,25,Urban,Data Analyst,72561,0
32750,Female,59,Bachelors,9,5,2,31,74,7.0,0,34,Urban,Manager,96531,0
32751,Male,23,Masters,12,50,82,48,64,6.0,4,34,Rural,HR Executive,130809,0
32752,Female,57,Bachelors,3,89,71,12,5,2.0,3,59,Urban,Data Analyst,27540,0
32753,Female,51,Diploma,10,24,38,6,12,6.0,6,16,Rural,Manager,61450,0
32754,Female,44,High School,7,9,78,85,91,3.0,6,79,Urban,HR Executive,128307,1
32755,Female,37,Diploma,19,45,80,85,26,3.0,0,1,Urban,ML Engineer,36864,0
32756,Male,53,Masters,14,66,17,70,37,4.0,1,84,Urban,Data Analyst,23202,1
32757,Female,50,PhD,14,21,86,12,32,3.0,4,41,Semi-Urban,HR Executive,127521,0
32758,Female,31,Bachelors,4,85,50,56,3,4.0,5,14,Rural,ML Engineer,75537,0
32759,Female,22,Bachelors,19,5,69,6,36,7.0,5,78,Urban,ML Engineer,114106,0
32760,Female,51,Masters,10,33,25,56,72,5.0,1,2,Urban,ML Engineer,31411,0
32761,Male,24,Bachelors,0,48,20,92,74,0.0,7,3,Urban,ML Engineer,115047,0
32762,Female,27,PhD,13,22,67,59,54,5.0,1,49,Rural,ML Engineer,119137,0
32763,Male,31,Bachelors,12,82,29,3,86,9.0,2,71,Urban,HR Executive,26714,0
32764,Female,47,Bachelors,7,87,27,58,60,4.0,3,43,Urban,ML Engineer,140444,0
32765,Male,47,Diploma,14,92,9,32,4,6.0,1,12,Semi-Urban,ML Engineer,137731,0
32766,Male,48,Diploma,14,20,76,93,24,4.0,5,22,Semi-Urban,Software Engineer,28546,0
32767,Other,27,Bachelors,7,24,60,98,40,7.0,7,35,Urban,Software Engineer,122622,0
32768,Female,21,Masters,5,69,65,67,22,6.0,7,69,Urban,ML Engineer,22920,1
32769,Female,51,Bachelors,8,84,0,90,39,8.0,3,8,Urban,Manager,51561,0
32770,Female,29,Masters,15,65,66,85,92,9.0,5,17,Urban,ML Engineer,116707,0
32771,Female,40,Bachelors,19,80,12,22,64,3.0,4,27,Urban,Manager,57451,0
32772,Female,58,Bachelors,14,41,36,20,6,3.0,4,83,Urban,Manager,131200,0
32773,Male,35,Diploma,7,26,74,22,61,1.0,4,75,Urban,Software Engineer,33792,0
32774,Female,23,High School,18,5,76,9,98,9.0,0,40,Semi-Urban,HR Executive,33714,0
32775,Female,56,Bachelors,14,99,79,34,54,0.0,1,29,Semi-Urban,Data Analyst,28328,1
32776,Female,36,High School,13,40,42,24,3,7.0,5,27,Semi-Urban,Data Analyst,51651,0
32777,Female,22,High School,19,30,20,56,55,4.0,1,76,Urban,Data Analyst,142149,0
32778,Male,34,Masters,3,31,21,81,43,5.0,4,33,Semi-Urban,ML Engineer,58044,0
32779,Male,52,Masters,15,49,71,2,44,8.0,0,1,Urban,Data Analyst,121515,0
32780,Other,54,PhD,17,15,97,88,77,2.0,0,58,Urban,Data Analyst,89843,1
32781,Male,42,High School,16,62,91,18,54,4.0,3,27,Urban,HR Executive,105059,0
32782,Female,34,Bachelors,8,57,86,14,96,6.0,2,17,Semi-Urban,ML Engineer,115097,0
32783,Male,40,PhD,12,9,73,2,76,8.0,0,20,Urban,Software Engineer,52086,0
32784,Female,38,High School,18,56,60,92,7,7.0,4,3,Rural,ML Engineer,45768,0
32785,Female,45,Bachelors,6,53,7,59,42,8.0,5,3,Urban,Manager,133756,0
32786,Female,54,Masters,15,14,67,21,1,5.0,4,28,Urban,Data Analyst,134266,0
32787,Male,43,Diploma,0,15,9,11,53,9.0,6,62,Urban,HR Executive,77099,0
32788,Male,26,Bachelors,7,15,78,36,61,2.0,6,92,Urban,HR Executive,129532,0
32789,Female,36,Masters,4,5,42,71,14,8.0,2,81,Urban,ML Engineer,90231,0
32790,Female,51,Diploma,13,31,32,62,48,9.0,7,27,Urban,ML Engineer,51455,0
32791,Male,39,Bachelors,16,27,70,46,42,5.0,4,92,Urban,HR Executive,60421,1
32792,Male,52,Bachelors,2,67,97,58,95,9.0,5,95,Urban,ML Engineer,46813,1
32793,Male,57,Diploma,15,70,77,12,67,1.0,3,44,Urban,HR Executive,58677,0
32794,Female,41,Diploma,7,95,76,82,97,9.0,6,37,Rural,Data Analyst,99316,1
32795,Female,25,Masters,3,23,70,87,18,1.0,2,7,Urban,ML Engineer,26425,0
32796,Other,49,Bachelors,13,40,85,12,43,6.0,6,55,Semi-Urban,Data Analyst,70968,0
32797,Male,47,High School,17,3,89,29,38,4.0,6,1,Urban,Data Analyst,71187,0
32798,Male,39,Diploma,7,41,95,8,26,6.0,6,31,Urban,Data Analyst,31532,0
32799,Female,22,Diploma,2,96,0,32,7,9.0,5,0,Semi-Urban,Data Analyst,74960,0
32800,Male,45,Bachelors,14,18,44,16,86,0.0,4,20,Urban,Manager,32136,0
32801,Male,38,Masters,12,64,83,71,57,7.0,4,12,Rural,Data Analyst,87046,0
32802,Male,23,High School,13,68,26,82,19,0.0,4,67,Urban,ML Engineer,33419,1
32803,Male,50,Bachelors,8,77,89,86,98,0.0,5,65,Urban,ML Engineer,112886,1
32804,Male,27,Diploma,14,12,42,75,37,7.0,3,30,Urban,Data Analyst,30592,0
32805,Male,22,Diploma,15,96,19,82,87,8.0,0,41,Urban,Data Analyst,84883,1
32806,Male,43,Masters,7,89,72,75,7,8.0,5,19,Urban,Software Engineer,145156,1
32807,Male,53,Masters,19,19,91,94,63,1.0,4,82,Rural,Software Engineer,65243,1
32808,Female,57,High School,1,54,43,72,10,8.0,4,18,Rural,Manager,106921,0
32809,Male,54,Diploma,11,79,5,49,73,6.0,0,18,Urban,Manager,122754,0
32810,Male,53,Diploma,0,97,95,57,22,3.0,3,51,Urban,Data Analyst,147304,1
32811,Male,48,Bachelors,2,20,69,66,61,0.0,7,58,Rural,Software Engineer,119080,0
32812,Male,34,Masters,19,83,8,88,39,2.0,6,61,Semi-Urban,Software Engineer,127136,1
32813,Female,37,Diploma,12,20,16,65,43,1.0,7,67,Semi-Urban,HR Executive,41397,0
32814,Female,31,Bachelors,8,17,72,58,35,5.0,7,66,Urban,Data Analyst,51808,0
32815,Female,52,Masters,4,8,39,39,46,9.0,5,0,Urban,Software Engineer,95745,0
32816,Male,59,Bachelors,5,54,8,97,20,7.0,1,34,Urban,Data Analyst,139136,0
32817,Male,39,Bachelors,6,24,12,69,85,6.0,1,18,Urban,Software Engineer,132934,0
32818,Male,23,Bachelors,2,97,90,33,65,7.0,1,44,Urban,Manager,146678,1
32819,Other,38,PhD,13,33,99,35,6,1.0,2,38,Urban,ML Engineer,146406,0
32820,Female,33,Diploma,8,99,56,13,75,0.0,1,95,Urban,HR Executive,24100,1
32821,Male,25,Masters,11,66,54,56,27,6.0,6,52,Rural,ML Engineer,83415,0
32822,Male,32,Masters,5,34,72,23,70,2.0,0,33,Semi-Urban,HR Executive,126221,0
32823,Male,43,Masters,10,33,69,93,20,8.0,3,40,Urban,Data Analyst,25822,1
32824,Male,39,Bachelors,15,94,92,95,55,4.0,4,30,Urban,HR Executive,141935,1
32825,Female,38,Bachelors,5,65,83,8,26,6.0,4,70,Urban,Data Analyst,65874,0
32826,Male,40,PhD,9,2,89,68,93,1.0,7,7,Urban,Software Engineer,56152,0
32827,Female,34,Bachelors,16,84,63,48,7,1.0,5,55,Urban,Data Analyst,58479,1
32828,Male,59,Masters,9,15,88,78,94,9.0,3,22,Urban,ML Engineer,94646,0
32829,Male,50,Diploma,1,85,91,7,30,3.0,7,31,Rural,Data Analyst,52905,0
32830,Male,43,Masters,11,35,77,75,71,6.0,4,46,Urban,Software Engineer,76806,0
32831,Female,36,Masters,1,8,1,45,68,3.0,5,84,Urban,Software Engineer,35168,0
32832,Male,21,Diploma,6,21,81,80,77,8.0,1,90,Urban,Manager,39598,1
32833,Male,33,Diploma,6,33,61,34,47,3.0,6,83,Urban,HR Executive,98649,0
32834,Female,51,Bachelors,18,29,27,51,81,3.0,7,95,Urban,Software Engineer,45546,0
32835,Male,25,Masters,14,61,96,40,83,0.0,6,74,Rural,ML Engineer,98697,1
32836,Male,31,High School,14,82,43,62,62,9.0,3,38,Urban,Software Engineer,22621,0
32837,Male,35,Masters,7,30,74,56,3,0.0,6,96,Urban,Data Analyst,122561,1
32838,Female,35,Bachelors,4,79,49,36,13,7.0,7,90,Semi-Urban,Manager,69424,1
32839,Male,51,Bachelors,14,85,14,92,22,7.0,1,97,Urban,Manager,140610,1
32840,Female,25,Bachelors,5,9,58,27,71,3.0,2,39,Urban,Data Analyst,114585,0
32841,Male,27,Masters,18,81,83,26,82,1.0,1,9,Urban,HR Executive,105885,0
32842,Male,41,High School,4,94,4,78,41,3.0,7,45,Urban,Manager,78641,0
32843,Female,44,Bachelors,8,79,0,31,7,4.0,1,57,Semi-Urban,Data Analyst,136747,0
32844,Female,21,PhD,10,48,3,64,12,9.0,6,93,Semi-Urban,Manager,97453,0
32845,Female,49,Masters,15,81,88,16,48,7.0,0,15,Urban,Data Analyst,82453,0
32846,Male,44,Bachelors,3,42,13,42,50,3.0,3,27,Rural,ML Engineer,61841,0
32847,Male,25,Bachelors,7,92,93,47,83,2.0,3,76,Semi-Urban,Data Analyst,76200,1
32848,Female,43,Masters,6,95,20,77,20,2.0,7,14,Semi-Urban,ML Engineer,20586,0
32849,Male,42,Bachelors,5,88,53,13,40,1.0,5,17,Urban,ML Engineer,66640,0
